"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
2;"R3,R4,R12,R6";"0402R";4;"2k2";;;
3;"D2";"0402LED";1;"blue";;;
4;"U4";"SOIC-14";1;"ATTINY1604";;;
5;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
6;"D3";"0402LED";1;"purple";;;
7;"U1";"SOP-16";1;"CH340C";;;
8;"K1";"easyC-connector";1;"easyC-SMD";;;
9;"D1";"0402LED";1;"white";;;
10;"D5";"0402LED";1;"red";;;
11;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
12;"H1";"HOLE_3.2mm";1;"HOLE_3.2mm";;;
13;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
14;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
15;"R2,R1,R5";"0603R";3;"1k";;;
16;"C9,C1,C10,C2,C4";"0603C";5;"100n";;;
17;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
18;"D6";"M4_DIODA";1;"M4_DIODA";;;
19;"R10";"0603R";1;"10k";;;
20;"C5,C3,C7,C8";"0603C";4;"2u2";;;
21;"R7,R8";"0603R";2;"5k1";;;
22;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
23;"K5,K6";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
24;"Q1";"SOT-23-3";1;"PMOS";;;
25;"R14";"0603R";1;"100k";;;
26;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
27;"C6";"0603C";1;"270p";;;
28;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
29;"R11";"0603R";1;"3k";;;
30;"D7";"SOD-323";1;"BAT20J";;;
